id,popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
265208,2.93234,30000000,0,Wild Card,"['Jason Statham', 'Michael Angarano', 'Milo Ventimiglia', 'Dominik GarcÃ\xada-Lorido', 'Anne Heche']",Simon West,"['gambling', 'bodyguard', 'remake']",92,"['Thriller', 'Crime', 'Drama']","['Current Entertainment', 'Lionsgate', 'Sierra / Affinity', 'SJ Heat Productions', 'Silver State Production Services']",2015-01-14,481,5.3,2015,27599987.8560053,0.0
334074,2.331636,20000000,0,Survivor,"['Pierce Brosnan', 'Milla Jovovich', 'Dylan McDermott', 'Angela Bassett', 'Robert Forster']",James McTeigue,"[""new year's eve"", 'fire', 'showdown', 'terrorist', 'embassy']",96,"['Crime', 'Thriller', 'Action']","['Nu Image Films', 'Winkler Films', 'Millennium Films', 'Survivor Productions']",2015-05-21,280,5.4,2015,18399991.9040035,0.0
347096,2.165433,0,0,Mythica: The Darkspore,"['Melanie Stone', 'Kevin Sorbo', 'Adam Johnson', 'Jake Stormoen', 'Rocky Myers']",Anne K. Black,"['sword', 'magic', 'sorcery', 'necromancer', 'woman director']",108,"['Action', 'Adventure', 'Fantasy']",['Arrowstorm Entertainment'],2015-06-24,27,5.1,2015,0.0,0.0
308369,2.141506,0,0,Me and Earl and the Dying Girl,"['Thomas Mann', 'RJ Cyler', 'Olivia Cooke', 'Connie Britton', 'Nick Offerman']",Alfonso Gomez-Rejon,"['tattoo', 'high school', 'leukemia', 'friends', 'parody']",105,"['Comedy', 'Drama']",['Indian Paintbrush'],2015-06-12,569,7.7,2015,0.0,0.0
370687,1.876037,0,0,Mythica: The Necromancer,"['Melanie Stone', 'Adam Johnson', 'Kevin Sorbo', 'Nicola Posener', 'Jake Stormoen']",A. Todd Smith,"['sword', 'magic', 'sorcery', 'necromancer']",0,"['Fantasy', 'Action', 'Adventure']","['Arrowstorm Entertainment', 'Camera 40 Productions', 'Bellpond Films']",2015-12-19,11,5.4,2015,0.0,0.0
307663,1.872696,10000000,0,Vice,"['Ambyr Childers', 'Thomas Jane', 'Bryan Greenberg', 'Bruce Willis', 'Johnathon Schaech']",Brian A Miller,"['artificial intelligence', 'android', 'self-awareness', 'mercenary', 'virtual reality']",96,"['Thriller', 'Science Fiction', 'Action', 'Adventure']","['Grindstone Entertainment Group', 'K5 International', 'Emmett/Furla Films', 'Aperture Entertainment']",2015-01-16,181,4.1,2015,9199995.95200178,0.0
326359,1.72471199999999,0,0,Frozen Fever,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Chris Williams']",Chris Buck|Jennifer Lee,"['sister sister relationship', 'birthday', 'song', 'birthday party', 'flu']",8,"['Adventure', 'Animation', 'Family']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",2015-03-09,475,7.0,2015,0.0,0.0
254302,1.661789,0,0,High-Rise,"['Tom Hiddleston', 'Sienna Miller', 'Jeremy Irons', 'Luke Evans', 'Elisabeth Moss']",Ben Wheatley,"['skyscraper', 'high rise']",119,"['Action', 'Drama', 'Science Fiction']","['Ingenious Media', 'HanWay Films', 'Scope Pictures', 'Recorded Picture Company (RPC)', 'Northern Ireland Screen']",2015-09-26,161,5.4,2015,0.0,0.0
292040,1.646664,0,0,Spooks: The Greater Good,"['Peter Firth', 'Kit Harington', 'Jennifer Ehle', 'Lara Pulver', 'Elyes Gabel']",Bharat Nalluri,"['corruption', 'terrorist', 'explosive', 'police', 'kidnapping']",104,"['Thriller', 'Action']","['BBC Films', 'Isle of Man Film', 'Shine Pictures', 'Kudos Film and Television', 'Pinewood Pictures']",2015-04-11,114,5.6,2015,0.0,0.0
297291,1.38032,0,0,The Scorpion King: The Lost Throne,"['Victor Webster', 'Ellen Hollman', 'Barry Bostwick', 'Will Kemp', 'M. Emmet Walsh']",Mike Elliott,"['magic', 'fantasy', 'steampunk', 'dragon']",105,"['Action', 'Fantasy', 'Adventure']",['Universal Pictures'],2015-01-09,22,4.5,2015,0.0,0.0
277355,1.342839,0,0,Everly,"['Salma Hayek', 'Hiroyuki Watanabe', 'Jennifer Blanc', 'Togo Igawa', 'Caroline Chikezie']",Joe Lynch,"['assassin', 'mob boss']",90,"['Thriller', 'Action']","['Crime Scene Pictures', 'Radius-TWC', 'Anonymous Content', 'Vega, Baby!']",2015-01-23,169,5.1,2015,0.0,0.0
157827,1.251681,11000000,0,Louder Than Bombs,"['Gabriel Byrne', 'Isabelle Huppert', 'Jesse Eisenberg', 'Devin Druid', 'Amy Ryan']",Joachim Trier,"['usa', 'brother brother relationship', 'father-son relationship', 'car accident', 'death of mother']",109,['Drama'],"['Motlys', 'Arte France CinÃ©ma', 'Animal Kingdom']",2015-05-18,43,6.3,2015,10119995.5472019,0.0
300803,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,"['Julian Morris', 'Tamzin Merchant', 'Jassa Ahluwalia', 'Ben Kingsley', ""Jonjo O'Neill""]",Colin Teague,"['magic', 'wall', 'druid', 'knight', 'dragon']",97,"['Action', 'Adventure', 'Fantasy']",['Raffaella Productions'],2015-02-24,59,4.5,2015,0.0,0.0
378373,1.128081,0,0,Brothers of the Wind,"['Manuel Camacho', 'Jean Reno', 'Tobias Moretti', 'Eva Kuen']",Gerado Olivares|Otmar Penker,"['eagle', 'learning to fly', ""eagle's feather"", 'father son conflict', ""bird's nest""]",98,"['Adventure', 'Drama', 'Family']",['Terra Mater Factual Studios'],2015-12-24,11,7.5,2015,0.0,0.0
294963,1.073349,1800000,0,Bone Tomahawk,"['Kurt Russell', 'Richard Jenkins', 'Matthew Fox', 'Lili Simmons', 'Sean Young']",S. Craig Zahler,"['poison', 'prisoner', 'murder', 'rifle', 'gore']",132,"['Horror', 'Western', 'Adventure', 'Drama']","['Caliber Media Company', 'The Fyzz Facility', 'Realbuilder Productions']",2015-10-23,220,6.3,2015,1655999.27136032,0.0
